_75_79_yrs_proj_count, _40_44_yrs_proj_count, _85_yrs_over_proj_percent, _25_29_yrs_proj_count, _60_64_yrs_proj_percent, _35_39_yrs_proj_percent, _50_54_yrs_proj_percent, _25_29_yrs_proj_percent, _40_44_yrs_proj_percent, lga_name, _0_4_yrs_proj_count, _10_14_yrs_proj_count, _80_84_yrs_proj_count, _70_74_yrs_proj_count, _5_9_yrs_proj_percent, _5_9_yrs_proj_count, _55_59_yrs_proj_percent, _15_19_yrs_proj_percent, _50_54_yrs_proj_count, _70_74_yrs_proj_percent, _75_79_yrs_proj_percent, _15_19_yrs_proj_count, _35_39_yrs_proj_count, _30_34_yrs_proj_count, _85_yrs_over_proj_count, _0_4_yrs_proj_percent, _20_24_yrs_proj_count, _45_49_yrs_proj_count, _30_34_yrs_proj_percent, _80_84_yrs_proj_percent, lga_code, _55_59_yrs_proj_count, _60_64_yrs_proj_count, _45_49_yrs_proj_percent, _65_69_yrs_proj_percent, _20_24_yrs_proj_percent, _10_14_yrs_proj_percent, _65_69_yrs_proj_count
609,660,6.7,752,5.9,4.1,6.8,6.0,5.2,"Alpine (S)",497,1053,442,684,5.7,713,6.1,4.3,857,5.4,4.8,535,519,661,846,4.0,673,868,5.3,3.5,20110,763,740,6.9,5.7,5.3,8.4,712
542,615,4.3,555,7.5,7.2,6.9,4.6,5.2,"Ararat (RC)",776,714,377,713,7.3,872,4.8,4.3,825,6.0,4.5,510,859,664,513,6.5,260,680,5.6,3.2,20260,577,896,5.7,8.2,2.2,6.0,980
3452,5538,1.7,6839,5.8,7.2,5.4,6.4,5.2,"Ballarat (C)",7607,6169,2308,5640,5.7,6124,5.8,7.5,5723,5.3,3.2,8018,7731,7318,1777,7.1,7681,6460,6.8,2.2,20570,6233,6241,6.0,5.7,7.2,5.8,6108
2861,10461,2.2,10828,4.8,9.2,6.6,7.4,7.1,"Banyule (C)",10662,6748,2054,5033,5.8,8460,6.0,6.0,9692,3.4,2.0,8825,13562,12036,3260,7.3,10644,9830,8.2,1.4,20660,8763,6994,6.7,4.0,7.3,4.6,5908
1269,2160,2.8,1103,8.6,5.9,7.0,3.5,6.8,"Bass Coast (S)",1306,1922,848,2304,6.8,2180,7.9,3.1,2242,7.2,4.0,999,1896,1339,898,4.1,692,2610,4.2,2.7,20740,2526,2739,8.2,9.0,2.2,6.0,2857
2062,2991,3.1,2411,9.1,5.4,6.6,5.1,6.3,"Baw Baw (S)",2525,2462,1990,2934,5.4,2531,7.0,4.6,3098,6.2,4.4,2160,2540,2244,1448,5.3,2253,2462,4.8,4.2,20830,3304,4303,5.2,7.4,4.8,5.2,3484
2743,9587,3.2,3420,6.0,7.5,8.0,3.1,8.8,"Bayside (C)",6560,8333,1716,4848,8.0,8780,6.5,4.8,8744,4.4,2.5,5201,8160,4801,3508,6.0,3482,9893,4.4,1.6,20910,7121,6605,9.0,5.5,3.2,7.6,5989
911,562,2.7,549,8.0,4.3,7.4,3.9,4.0,"Benalla (RC)",421,666,769,1165,3.9,540,7.8,6.4,1034,8.4,6.5,892,594,631,382,3.0,492,1189,4.5,5.5,21010,1084,1111,8.5,6.9,3.5,4.8,963
4558,14223,3.1,13588,4.0,6.5,6.9,7.1,7.4,"Boroondara (C)",10276,12911,4427,6534,6.3,12078,5.2,7.7,13276,3.4,2.4,14764,12476,12483,5869,5.4,14987,15669,6.5,2.3,21110,9940,7598,8.2,3.2,7.8,6.7,6130
6582,13675,1.8,15884,5.7,7.1,6.3,7.0,6.0,"Brimbank (C)",15613,15360,4401,10015,6.4,14548,5.7,6.4,14296,4.4,2.9,14598,16146,16285,4208,6.8,14401,13962,7.1,1.9,21180,13015,12920,6.1,5.5,6.3,6.7,12586
