median_aud_2014_15, lga_code_2016, lga_name16, mean_aud_2014_15
36225,"20110","Alpine (S)",42080
38901,"20260","Ararat (RC)",42723
43308,"20570","Ballarat (C)",49276
51048,"20660","Banyule (C)",61260
35820,"20740","Bass Coast (S)",42817
42380,"20830","Baw Baw (S)",50147
53926,"20910","Bayside (C)",86377
39036,"21010","Benalla (RC)",43780
52344,"21110","Boroondara (C)",78589
42685,"21180","Brimbank (C)",46847
32517,"21270","Buloke (S)",38010
39999,"21370","Campaspe (S)",44398
45677,"21450","Cardinia (S)",50942
46064,"21610","Casey (C)",50303
37112,"21670","Central Goldfields (S)",39038
38025,"21750","Colac-Otway (S)",42289
37036,"21830","Corangamite (S)",42259
46843,"21890","Darebin (C)",54993
37105,"22110","East Gippsland (S)",43472
45776,"22170","Frankston (C)",51027
36286,"22250","Gannawarra (S)",39802
40389,"22830","Greater Shepparton (C)",44669
40058,"22910","Hepburn (S)",47107
38572,"22980","Hindmarsh (S)",42136
52207,"23110","Hobsons Bay (C)",61603
40681,"23190","Horsham (RC)",44231
44581,"23270","Hume (C)",49237
44409,"23350","Indigo (S)",48946
49561,"23430","Kingston (C) (Vic.)",57702
47072,"23670","Knox (C)",53803
45381,"23810","Latrobe (C) (Vic.)",56979
34960,"23940","Loddon (S)",38989
48316,"24130","Macedon Ranges (S)",59359
45855,"24210","Manningham (C)",60537
34273,"24250","Mansfield (S)",42161
47906,"24330","Maribyrnong (C)",55501
47967,"24410","Maroondah (C)",55361
40234,"24600","Melbourne (C)",56119
48251,"24650","Melton (C)",52541
38259,"24780","Mildura (RC)",42661
46289,"24850","Mitchell (S)",50792
38444,"24900","Moira (S)",42851
45643,"24970","Monash (C)",55759
51940,"25060","Moonee Valley (C)",63078
47528,"25150","Moorabool (S)",54035
47618,"25250","Moreland (C)",55068
42100,"25340","Mornington Peninsula (S)",52623
45412,"22490","Golden Plains (S)",51121
43031,"22620","Greater Bendigo (C)",48238
40000,"22670","Greater Dandenong (C)",43025
43827,"22750","Greater Geelong (C)",51876
39616,"25430","Mount Alexander (S)",45110
38066,"25490","Moyne (S)",43427
39100,"25620","Murrindindi (S)",45526
49518,"25710","Nillumbik (S)",62319
38700,"25810","Northern Grampians (S)",42965
56200,"25900","Port Phillip (C)",73161
36693,"25990","Pyrenees (S)",41727
40108,"26080","Queenscliffe (B)",51793
38051,"26170","South Gippsland (S)",45210
37999,"26260","Southern Grampians (S)",42200
54213,"26350","Stonnington (C)",78942
39546,"26430","Strathbogie (S)",43893
42657,"26490","Surf Coast (S)",54253
36495,"26610","Swan Hill (RC)",39415
38612,"26670","Towong (S)",44341
41239,"26700","Wangaratta (RC)",45493
39642,"26730","Warrnambool (C)",44934
42429,"26810","Wellington (S)",54324
50569,"22310","Glen Eira (C)",65042
40816,"22410","Glenelg (S)",48789
33442,"26890","West Wimmera (S)",38220
46560,"26980","Whitehorse (C)",58463
45736,"27070","Whittlesea (C)",50082
46018,"27170","Wodonga (C)",49685
49188,"27260","Wyndham (C)",54287
54694,"27350","Yarra (C)",68051
44877,"27450","Yarra Ranges (S)",51599
33673,"27630","Yarriambiack (S)",37433
14907,"29399","Unincorporated Vic",25757
