"MEASURE","Sex","LANP","Language Spoken at Home","STATE","State","REGIONTYPE","Region Type","REGION","LGA 2011","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20110","Alpine (S)","A","Annual","2011","2011",9,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20260","Ararat (RC)","A","Annual","2011","2011",5,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20570","Ballarat (C)","A","Annual","2011","2011",139,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20660","Banyule (C)","A","Annual","2011","2011",1212,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20740","Bass Coast (S)","A","Annual","2011","2011",37,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20830","Baw Baw (S)","A","Annual","2011","2011",40,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","20910","Bayside (C)","A","Annual","2011","2011",404,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21010","Benalla (RC)","A","Annual","2011","2011",16,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21110","Boroondara (C)","A","Annual","2011","2011",4785,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21180","Brimbank (C)","A","Annual","2011","2011",4324,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21270","Buloke (S)","A","Annual","2011","2011",0,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21370","Campaspe (S)","A","Annual","2011","2011",22,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21450","Cardinia (S)","A","Annual","2011","2011",71,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21610","Casey (C)","A","Annual","2011","2011",1533,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21670","Central Goldfields (S)","A","Annual","2011","2011",3,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21750","Colac-Otway (S)","A","Annual","2011","2011",7,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21830","Corangamite (S)","A","Annual","2011","2011",3,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","21890","Darebin (C)","A","Annual","2011","2011",1717,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22110","East Gippsland (S)","A","Annual","2011","2011",35,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22170","Frankston (C)","A","Annual","2011","2011",280,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22250","Gannawarra (S)","A","Annual","2011","2011",6,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22310","Glen Eira (C)","A","Annual","2011","2011",1553,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22410","Glenelg (S)","A","Annual","2011","2011",10,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22490","Golden Plains (S)","A","Annual","2011","2011",3,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22620","Greater Bendigo (C)","A","Annual","2011","2011",136,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22670","Greater Dandenong (C)","A","Annual","2011","2011",4721,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22750","Greater Geelong (C)","A","Annual","2011","2011",384,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22830","Greater Shepparton (C)","A","Annual","2011","2011",107,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22910","Hepburn (S)","A","Annual","2011","2011",7,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","22980","Hindmarsh (S)","A","Annual","2011","2011",4,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23110","Hobsons Bay (C)","A","Annual","2011","2011",905,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23190","Horsham (RC)","A","Annual","2011","2011",19,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23270","Hume (C)","A","Annual","2011","2011",544,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23350","Indigo (S)","A","Annual","2011","2011",4,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23430","Kingston (C)","A","Annual","2011","2011",1711,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23670","Knox (C)","A","Annual","2011","2011",4057,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23810","Latrobe (C)","A","Annual","2011","2011",101,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","23940","Loddon (S)","A","Annual","2011","2011",0,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24130","Macedon Ranges (S)","A","Annual","2011","2011",27,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24210","Manningham (C)","A","Annual","2011","2011",8811,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24250","Mansfield (S)","A","Annual","2011","2011",7,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24330","Maribyrnong (C)","A","Annual","2011","2011",2567,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24410","Maroondah (C)","A","Annual","2011","2011",995,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24600","Melbourne (C)","A","Annual","2011","2011",4598,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24650","Melton (S)","A","Annual","2011","2011",681,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24780","Mildura (RC)","A","Annual","2011","2011",74,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24850","Mitchell (S)","A","Annual","2011","2011",48,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24900","Moira (S)","A","Annual","2011","2011",36,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","24970","Monash (C)","A","Annual","2011","2011",8378,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25060","Moonee Valley (C)","A","Annual","2011","2011",1794,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25150","Moorabool (S)","A","Annual","2011","2011",10,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25250","Moreland (C)","A","Annual","2011","2011",1048,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25340","Mornington Peninsula (S)","A","Annual","2011","2011",166,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25430","Mount Alexander (S)","A","Annual","2011","2011",11,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25490","Moyne (S)","A","Annual","2011","2011",5,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25620","Murrindindi (S)","A","Annual","2011","2011",8,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25710","Nillumbik (S)","A","Annual","2011","2011",103,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25810","Northern Grampians (S)","A","Annual","2011","2011",0,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25900","Port Phillip (C)","A","Annual","2011","2011",783,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","25990","Pyrenees (S)","A","Annual","2011","2011",0,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","26080","Queenscliffe (B)","A","Annual","2011","2011",0,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","26170","South Gippsland (S)","A","Annual","2011","2011",14,,
"3","Persons","7101","Cantonese","2","Victoria","LGA2011","Local Government Areas (2011)","26260","Southern Grampians (S)","A","Annual","2011","2011",15,,
